rs_school_emis_code,sc_total_exp_current_year,sc_balance,total_funds_available
31110440,65035,367,65402
31110442,104000,1377,105377
31110443,80000,45009,125009
31110444,359534,86629,446163
31110445,88600,858065,946665
31110446,105035,428,105463
31110447,123200,62228,185428
31110448,40000,17551,57551
31110450,65000,823548,888548
31110451,0,135709,135709
31110452,50000,65014,115014
31110453,124000,462,124462
31110455,0,1023587,1023587
31110456,100000,71183,171183
31110457,233000,2490,235490
31110459,0,43438,43438
31110460,175000,300,175300
31110461,85035,4804,89839
31110464,120000,92999,212999
31110465,50000,1061,51061
31110466,85105,1749,86854
31110467,0,95135,95135
31110468,78000,661,78661
31110469,0,239071,239071
31110470,46000,78999,124999
31110471,98000,250512,348512
31110472,55000,670,55670
31110473,0,96154,96154
31110474,157820,958335,1116155
31110476,0,0,0
31110477,32000,138845,170845
31110480,150440,92015,242455
31110481,0,0,0
31110482,125000,5359,130359
31110483,135000,5430,140430
31110484,94500,225734,320234
31110486,0,0,0
31110487,110000,897678,1007678
31110488,72250,264072,336322
31110490,80000,966704,1046704
31110491,0,54287,54287
31110492,93105,535,93640
31110493,54500,762,55262
31110494,0,228417,228417
31110495,0,0,0
31110496,107100,100466,207566
31110498,0,0,0
31110499,145000,979400,1124400
31110501,95000,32,95032
31110503,0,1627946,1627946
31110505,30000,47439,77439
31110506,150000,1124799,1274799
31110507,0,201940,201940
31110508,100000,995145,1095145
31110510,0,1066965,1066965
31110511,0,10350,10350
31110512,0,569346,569346
31110513,0,582754,582754
31110514,12000,429524,441524
31110516,0,0,0
31110518,0,0,0
31110520,0,0,0
31110521,0,0,0
31110522,0,0,0
31110523,0,0,0
31110524,0,0,0
31110525,0,0,0
31110526,0,0,0
31110527,75000,411932,486932
31110528,82500,493675,576175
31110529,0,1022175,1022175
31110531,0,0,0
31110533,64500,58107,122607
31110536,42405,48171,90576
31110537,28000,648,28648
31110538,104690,47661,152351
31110540,50000,482462,532462
31110541,58,106,164
31110546,32000,95,32095
31110550,40000,29199,69199
31110554,0,0,0
31110559,0,0,0
31110561,20070,521356,541426
31110563,6000,92705,98705
31110569,69952,48,70000
31110570,50070,59712,109782
31110571,0,83681,83681
31110572,0,217811,217811
31110575,25000,30468,55468
31110578,0,0,0
31110580,0,0,0
31110581,0,331826,331826
31110583,0,33701,33701
31110585,145687,450480,596167
31110586,246505,175965,422470
31110587,0,0,0
31110620,100000,157601,257601
31110621,0,0,0
31110623,68035,29144,97179
31110624,35,486831,486866
31110625,0,0,0
31110626,49980,321244,371224
31110628,0,1248304,1248304
31110629,60000,51110,111110
31110650,0,287445,287445
31110652,80122,0,80122
31110653,40000,82019,122019
31110655,93000,100983,193983
31110658,20000,502697,522697
31110659,0,82609,82609
31110660,0,308952,308952
31110661,46140,873641,919781
31110662,251250,913558,1164808
31110663,64000,1115663,1179663
31110664,0,709969,709969
31110665,78468,545,79013
31110667,0,0,0
31110668,0,0,0
31110671,0,49867,49867
31110672,28000,53187,81187
31110677,0,0,0
31110680,0,0,0
31120001,368130,1212315,1580445
31120002,0,234194,234194
31120003,230629,885441,1116070
31120004,294037,1813911,2107948
31120005,240886,889575,1130461
31120006,703160,1261425,1964585
31120007,147436,975275,1122711
31120008,417769,1209365,1627134
31120009,175951,1002579,1178530
31120010,76334,900466,976800
31120011,201544,925879,1127423
31120012,164001,1304902,1468903
31120013,0,0,0
31120014,302557,1003583,1306140
31120015,191910,1080270,1272180
31120016,100000,926244,1026244
31120017,139000,413,139413
31120018,151982,908801,1060783
31120019,172658,935038,1107696
31120020,69668,1123669,1193337
31120021,35,1212241,1212276
31120022,114704,936612,1051316
31120023,235568,877616,1113184
31120024,63301,1198653,1261954
31120025,57861,923092,980953
31120026,83181,905783,988964
31120027,111568,931086,1042654
31120028,874634,1497132,2371766
31120029,136575,343371,479946
31120030,177455,1697146,1874601
31120031,95163,500089,595252
31120032,259365,819854,1079219
31120033,558952,955592,1514544
31120034,294412,909650,1204062
31120035,35,1250227,1250262
31120036,200387,969548,1169935
31120037,76687,1207695,1284382
31120038,0,256172,256172
31120039,83883,1001288,1085171
31120040,0,0,0
31120041,0,1075925,1075925
31120042,339924,985260,1325184
31120043,101244,849293,950537
31120044,59280,985275,1044555
31120045,157868,984571,1142439
31120046,0,1003852,1003852
31120047,140347,573863,714210
31120048,193781,262255,456036
31120049,48940,997253,1046193
31120050,228500,225220,453720
31120051,50000,871895,921895
31120052,696653,6192,702845
31120053,50035,911742,961777
31120054,35,1156541,1156576
31120055,40070,1116163,1156233
31120056,166000,446352,612352
31120057,98070,802157,900227
31120058,216605,871326,1087931
31120059,124888,1150173,1275061
31120060,5000,68935,73935
31120061,110641,274656,385297
31120062,85000,1479268,1564268
31120063,0,1152238,1152238
31120064,35,1234716,1234751
31120065,187470,934721,1122191
31120066,0,1041626,1041626
31120067,70203,1067093,1137296
